,Year,Sport,Sex,avg_age,avg_height,avg_weight
375,1992,Tennis,F,22.0,171.0,62.0
376,1992,Tennis,M,20.0,183.0,79.0
377,1992,Volleyball,F,26.0,180.0,69.0
378,1992,Volleyball,M,26.0,193.0,88.0
379,1992,Water Polo,M,28.0,193.0,92.0
380,1992,Weightlifting,M,25.0,177.0,101.0
381,1992,Wrestling,M,28.0,173.0,76.0
382,1996,Archery,F,42.0,167.0,65.0
383,1996,Archery,M,27.0,184.0,85.0
384,1996,Athletics,F,28.0,170.0,60.0
385,1996,Athletics,M,28.0,184.0,81.0
386,1996,Badminton,F,31.0,161.0,56.0
387,1996,Badminton,M,23.0,187.0,86.0
388,1996,Baseball,M,21.0,185.0,88.0
389,1996,Basketball,F,27.0,182.0,70.0
390,1996,Basketball,M,29.0,202.0,103.0
391,1996,Beach Volleyball,F,27.0,170.0,62.0
392,1996,Beach Volleyball,M,33.0,193.0,90.0
393,1996,Boxing,M,22.0,174.0,69.0
394,1996,Canoeing,F,32.0,167.0,60.0
395,1996,Canoeing,M,31.0,182.0,80.0
396,1996,Cycling,F,32.0,170.0,60.0
397,1996,Cycling,M,27.0,181.0,77.0
398,1996,Diving,F,23.0,160.0,52.0
399,1996,Diving,M,28.0,173.0,72.0
400,1996,Equestrianism,F,38.0,168.0,55.0
401,1996,Equestrianism,M,38.0,180.0,73.0
402,1996,Fencing,F,30.0,168.0,60.0
403,1996,Fencing,M,29.0,184.0,81.0
404,1996,Football,F,24.0,167.0,59.0
405,1996,Football,M,22.0,183.0,80.0
406,1996,Gymnastics,F,18.0,148.0,41.0
407,1996,Gymnastics,M,24.0,165.0,65.0
408,1996,Handball,F,29.0,176.0,67.0
409,1996,Handball,M,28.0,191.0,90.0
410,1996,Hockey,F,27.0,164.0,60.0
411,1996,Hockey,M,25.0,179.0,78.0
412,1996,Judo,F,26.0,166.0,73.0
413,1996,Judo,M,29.0,183.0,87.0
414,1996,Modern Pentathlon,M,33.0,178.0,73.0
415,1996,Rowing,F,28.0,179.0,71.0
416,1996,Rowing,M,27.0,191.0,88.0
417,1996,Sailing,F,28.0,170.0,61.0
418,1996,Sailing,M,34.0,183.0,82.0
419,1996,Shooting,F,29.0,162.0,63.0
420,1996,Shooting,M,32.0,179.0,84.0
421,1996,Softball,F,26.0,174.0,73.0
422,1996,Swimming,F,21.0,172.0,62.0
423,1996,Swimming,M,23.0,191.0,83.0
424,1996,Synchronized Swimming,F,24.0,168.0,55.0
425,1996,Table Tennis,F,32.0,162.0,54.0
426,1996,Table Tennis,M,26.0,184.0,75.0
427,1996,Tennis,F,24.0,178.0,68.0
428,1996,Tennis,M,27.0,180.0,79.0
429,1996,Volleyball,F,28.0,183.0,72.0
430,1996,Volleyball,M,27.0,196.0,91.0
431,1996,Water Polo,M,27.0,193.0,92.0
432,1996,Weightlifting,M,26.0,174.0,99.0
433,1996,Wrestling,M,28.0,174.0,77.0
434,2000,Archery,F,30.0,166.0,59.0
435,2000,Archery,M,31.0,186.0,83.0
436,2000,Athletics,F,28.0,172.0,64.0
437,2000,Athletics,M,27.0,183.0,81.0
438,2000,Badminton,M,27.0,187.0,86.0
439,2000,Baseball,M,25.0,185.0,86.0
440,2000,Basketball,F,29.0,184.0,76.0
441,2000,Basketball,M,28.0,197.0,100.0
442,2000,Beach Volleyball,F,27.0,175.0,68.0
443,2000,Beach Volleyball,M,30.0,195.0,95.0
444,2000,Boxing,M,23.0,175.0,68.0
445,2000,Canoeing,F,24.0,171.0,66.0
446,2000,Canoeing,M,33.0,184.0,84.0
447,2000,Cycling,F,29.0,163.0,57.0
448,2000,Cycling,M,29.0,179.0,76.0
449,2000,Diving,F,21.0,165.0,56.0
450,2000,Diving,M,25.0,176.0,71.0
451,2000,Equestrianism,F,37.0,169.0,57.0
452,2000,Equestrianism,M,40.0,181.0,73.0
453,2000,Fencing,F,24.0,172.0,69.0
454,2000,Fencing,M,24.0,186.0,83.0
455,2000,Football,F,26.0,166.0,59.0
456,2000,Football,M,23.0,179.0,75.0
457,2000,Gymnastics,F,20.0,154.0,48.0
458,2000,Gymnastics,M,23.0,166.0,66.0
459,2000,Judo,F,26.0,164.0,68.0
460,2000,Judo,M,27.0,180.0,83.0
461,2000,Modern Pentathlon,F,26.0,172.0,58.0
462,2000,Modern Pentathlon,M,30.0,182.0,77.0
463,2000,Rowing,F,30.0,179.0,72.0
464,2000,Rowing,M,27.0,191.0,89.0
465,2000,Sailing,F,35.0,172.0,62.0
466,2000,Sailing,M,37.0,179.0,82.0
467,2000,Shooting,F,27.0,165.0,67.0
468,2000,Shooting,M,32.0,176.0,82.0
469,2000,Softball,F,28.0,174.0,78.0
470,2000,Swimming,F,23.0,177.0,66.0
471,2000,Swimming,M,22.0,191.0,87.0
472,2000,Synchronized Swimming,F,25.0,170.0,58.0
473,2000,Table Tennis,F,27.0,165.0,59.0
474,2000,Table Tennis,M,36.0,176.0,73.0
475,2000,Taekwondo,F,24.0,163.0,54.0
476,2000,Taekwondo,M,25.0,184.0,70.0
477,2000,Tennis,F,22.0,183.0,74.0
478,2000,Tennis,M,29.0,186.0,78.0
479,2000,Trampolining,F,19.0,154.0,52.0
480,2000,Triathlon,F,31.0,160.0,53.0
481,2000,Triathlon,M,27.0,181.0,73.0
482,2000,Volleyball,F,24.0,183.0,74.0
483,2000,Volleyball,M,26.0,198.0,97.0
484,2000,Water Polo,F,25.0,175.0,71.0
485,2000,Water Polo,M,28.0,193.0,93.0
486,2000,Weightlifting,F,24.0,160.0,76.0
487,2000,Weightlifting,M,24.0,170.0,121.0
488,2000,Wrestling,M,28.0,174.0,78.0
489,2004,Archery,F,32.0,172.0,64.0
490,2004,Archery,M,37.0,190.0,87.0
491,2004,Athletics,F,27.0,172.0,64.0
492,2004,Athletics,M,26.0,184.0,81.0
493,2004,Badminton,M,28.0,178.0,80.0
494,2004,Basketball,F,28.0,184.0,75.0
495,2004,Basketball,M,24.0,200.0,103.0
496,2004,Beach Volleyball,F,30.0,180.0,68.0
497,2004,Beach Volleyball,M,32.0,192.0,92.0
498,2004,Boxing,M,21.0,178.0,72.0
499,2004,Canoeing,F,25.0,169.0,65.0
500,2004,Canoeing,M,26.0,181.0,80.0
501,2004,Cycling,F,30.0,168.0,61.0
502,2004,Cycling,M,29.0,180.0,75.0
503,2004,Diving,F,25.0,159.0,52.0
504,2004,Diving,M,24.0,172.0,68.0
505,2004,Equestrianism,F,37.0,166.0,59.0
506,2004,Equestrianism,M,39.0,181.0,72.0
507,2004,Fencing,F,20.0,169.0,67.0
508,2004,Fencing,M,24.0,184.0,84.0
509,2004,Football,F,28.0,169.0,62.0
510,2004,Gymnastics,F,19.0,152.0,45.0
511,2004,Gymnastics,M,24.0,164.0,64.0
512,2004,Judo,F,24.0,167.0,65.0
513,2004,Judo,M,29.0,177.0,84.0
514,2004,Modern Pentathlon,F,28.0,164.0,56.0
515,2004,Modern Pentathlon,M,34.0,184.0,80.0
516,2004,Rhythmic Gymnastics,F,18.0,170.0,52.0
517,2004,Rowing,F,28.0,177.0,72.0
518,2004,Rowing,M,27.0,189.0,87.0
519,2004,Sailing,F,34.0,167.0,63.0
520,2004,Sailing,M,36.0,182.0,80.0
521,2004,Shooting,F,30.0,162.0,68.0
522,2004,Shooting,M,33.0,180.0,87.0
523,2004,Softball,F,26.0,174.0,77.0
524,2004,Swimming,F,22.0,176.0,66.0
